,Country,total per country
63,FRANCE,4259659.0
199,UNITED STATES OF AMERICA,3367641.0
117,MEXICO,2479159.0
175,SPAIN,2477196.0
147,POLAND,1978579.0
89,ITALY,1915838.0
40,CHINA,1145751.0
35,CANADA,904011.0
82,HUNGARY,858707.0
198,UNITED KINGDOM,818749.0
81,"HONG KONG, CHINA",813975.0
194,TÜRKIYE,735395.0
69,GERMANY,680684.0
10,AUSTRIA,603552.0
109,MALAYSIA,595004.0
52,DENMARK,546614.0
106,"MACAO, CHINA",539917.0
51,CZECH REPUBLIC (CZECHIA),515030.0
71,GREECE,502793.0
148,PORTUGAL,460173.0
185,THAILAND,453648.0
196,UKRAINE,434258.0
162,SAUDI ARABIA,326247.0
129,NETHERLANDS,317705.0
168,SINGAPORE,286873.0
174,SOUTH AFRICA,254310.0
47,CROATIA,252741.0
56,EGYPT,229073.0
29,BULGARIA,224421.0
181,SWITZERLAND,219636.0
2,ANDORRA,217926.0
87,IRELAND,205496.0
124,MOROCCO,204175.0
197,UNITED ARAB EMIRATES,193911.0
17,BELGIUM,192311.0
180,SWEDEN,187985.0
190,TUNISIA,171438.0
84,INDIA,148252.0
6,ARGENTINA,142970.0
138,NORWAY,136825.0
12,BAHAMAS,135177.0
26,BRAZIL,132935.0
144,PARAGUAY,128883.0
91,JORDAN,128185.0
13,BAHRAIN,127888.0
55,DOMINICAN REPUBLIC,126993.0
171,SLOVAKIA,126432.0
149,PUERTO RICO,125257.0
153,RUSSIAN FEDERATION,115901.0
104,LITHUANIA,114521.0
99,LATVIA,114042.0
62,FINLAND,107666.0
58,ESTONIA,105048.0
146,PHILIPPINES,94854.0
39,CHILE,93221.0
182,SYRIAN ARAB REPUBLIC,78550.0
90,JAMAICA,77533.0
85,INDONESIA,73492.0
88,ISRAEL,71688.5
50,CYPRUS,71022.0
145,PERU,67612.0
92,KAZAKHSTAN,66975.0
201,URUGUAY,64829.0
48,CUBA,64713.0
33,CAMBODIA,64059.0
200,UNITED STATES VIRGIN ISLANDS,60930.0
0,ALBANIA,60466.0
131,NEW ZEALAND,59470.0
41,COLOMBIA,59010.0
68,GEORGIA,58806.0
172,SLOVENIA,57947.0
46,COSTA RICA,57588.0
98,LAO PEOPLE´S DEMOCRATIC REPUBLIC,52845.0
112,MALTA,50888.0
36,CAYMAN ISLANDS,46775.0
170,SINT MAARTEN (DUTCH PART),45627.0
139,OMAN,43259.0
9,AUSTRALIA,41142.0
142,PANAMA,39326.0
57,EL SALVADOR,39248.0
8,ARUBA,37752.0
11,AZERBAIJAN,37445.0
25,BOTSWANA,37281.0
80,HONDURAS,36551.0
177,STATE OF PALESTINE,36296.0
204,VIET NAM,36261.0
126,MYANMAR,36225.0
100,LEBANON,33513.0
160,SAN MARINO,32716.0
74,GUAM,32634.0
152,ROMANIA,31102.0
125,MOZAMBIQUE,30291.0
93,KENYA,29951.0
15,BARBADOS,29414.0
134,NIGERIA,28046.0
127,NAMIBIA,26888.0
75,GUATEMALA,26235.0
176,SRI LANKA,25967.399999999998
132,NICARAGUA,25696.0
105,LUXEMBOURG,24713.0
18,BELIZE,24322.0
122,MONTENEGRO,24029.0
116,MAURITIUS,23792.0
59,ESWATINI,23353.0
110,MALDIVES,23164.7
