,index,total per year
0,1995,791973.2
1,1996,916842.1
2,1997,952662.4
3,1998,889334.5
4,1999,925603.2999999999
5,2000,981007.4
6,2001,969040.5
7,2002,970937.5999999999
8,2003,989655.0000000001
9,2004,1216967.9000000001
10,2005,1277444.3
11,2006,1412747.7
12,2007,1438455.7999999998
13,2008,1436618.0
14,2009,1386732.1
15,2010,1430931.4000000001
16,2011,1471411.1
17,2012,1539058.4
18,2013,1613527.5
19,2014,1672187.3
20,2015,1719594.0
21,2016,1766111.2
22,2017,1834193.4
23,2018,1892928.6
24,2019,1963485.9
25,2020,649028.8999999999
26,2021,729368.681
27,2022,969469.6400000001
