,country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,AFGHANISTAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,89.0,147.0,165.0,167.0,179.0,121.0,86.0,62.0,16.0,50.0,85.0,75.0,0.0,0.0
1,ALBANIA,70.0,94.0,34.0,60.0,218.0,398.0,451.0,492.0,537.0,756.0,880.0,1057.0,1479.0,1850.0,2013.0,1778.0,1833.0,1623.0,1670.0,1849.0,1613.0,1821.0,2050.0,2306.0,2458.0,1243.0,2480.0,3255.1
2,ALGERIA,32.0,45.0,28.0,74.0,80.0,102.0,100.0,111.0,112.0,178.0,477.0,393.0,334.0,473.0,361.0,324.0,300.0,295.0,326.0,316.0,347.0,246.0,171.0,196.0,140.0,50.0,78.80000000000001,219.1
3,AMERICAN SAMOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0
4,ANDORRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.0,1351.0,1893.1000000000001,0.0
5,ANGOLA,27.0,38.0,24.0,39.0,31.0,34.0,35.0,51.0,63.0,82.0,103.0,91.0,236.0,293.0,554.0,726.0,653.0,711.0,1241.0,1597.0,1171.0,628.0,884.0,557.0,395.0,19.0,22.5,24.299999999999997
6,ANGUILLA,50.0,51.0,60.0,62.0,58.0,56.0,62.0,57.0,64.0,69.0,86.0,107.0,115.0,109.0,94.0,99.0,112.0,113.0,122.0,137.1,142.0,147.0,153.0,127.0,177.0,52.1,63.4,140.0
7,ANTIGUA AND BARBUDA,247.0,258.0,278.0,282.0,290.0,291.0,272.0,274.0,300.0,337.0,309.0,327.0,338.0,334.0,305.0,298.0,312.0,319.0,299.0,803.0,802.0,844.0,820.0,855.0,994.0,430.0,556.0,818.0
8,ARGENTINA,2550.0,2975.0,3153.0,3353.0,3175.0,3195.0,2756.0,1716.0,2306.0,2660.0,3209.0,3926.0,5030.0,5273.0,4455.0,5605.0,6058.0,5665.0,5199.0,5645.0,5441.0,5466.0,5830.0,5999.0,5654.0,1793.47,433.0,3694.0
9,ARMENIA,14.0,18.0,33.0,41.0,47.0,52.0,81.0,81.0,90.0,189.0,243.0,406.0,522.0,564.0,570.0,694.0,762.0,853.0,905.0,994.0,956.0,1037.0,1224.0,1358.0,1553.0,297.0,813.0,2513.1
10,ARUBA,554.0,666.0,726.0,786.0,782.0,850.0,825.0,835.0,858.1,1057.0,1097.0,1064.1,1213.4,1352.0,1223.0,1254.0,1358.0,1412.0,1506.0,1625.0,1659.0,1757.0,1855.0,2035.0,2109.0,1079.0,1788.0,2305.0
11,AUSTRALIA,10370.0,11882.0,11735.0,10169.0,11408.0,11594.0,11333.0,12148.0,14981.0,18032.0,19719.0,20408.0,25024.0,27189.0,26909.0,31064.0,34315.0,34137.0,35159.0,37996.0,36249.0,39059.0,43990.0,47327.0,47953.0,26235.0,17132.0,24214.0
12,AUSTRIA,14529.0,13980.0,12275.0,12694.0,12358.0,11382.0,11511.0,12334.0,15128.0,17251.0,18471.0,16512.0,18557.0,21630.0,19168.0,18751.0,19791.0,18931.0,20221.0,20913.0,20422.0,20965.0,22424.0,25413.0,25932.0,15194.0,11411.0,19175.0
