,FRANCE,UNITED STATES OF AMERICA,MEXICO,SPAIN,POLAND
1995-01-01,60033.0,79732.0,85446.0,52460.0,82244.0
1996-01-01,148263.0,82756.0,90394.0,55077.0,87439.0
1997-01-01,157551.0,82525.0,92915.0,62415.0,87817.0
1998-01-01,70109.0,74767.0,95214.0,68068.0,88592.0
1999-01-01,73147.0,75796.0,99869.0,72039.0,89118.0
2000-01-01,77190.0,78343.0,105673.0,74580.0,84515.0
2001-01-01,75202.0,70975.0,100718.0,75563.0,61431.0
2002-01-01,77012.0,64434.0,100154.0,79314.0,50735.0
2003-01-01,75048.0,62082.0,92329.0,82326.0,52130.0
2004-01-01,190282.0,67606.0,99250.0,85981.0,61918.0
2005-01-01,185829.0,71484.0,103146.0,92563.0,64606.0
2006-01-01,193882.0,183178.0,97701.0,96152.0,65115.0
2007-01-01,193319.0,175299.0,93582.0,98907.0,66208.0
2008-01-01,193571.0,175703.0,92948.0,97670.0,59935.0
2009-01-01,192369.0,160508.0,88044.0,91900.0,53840.0
2010-01-01,189826.0,162275.0,81954.0,93744.0,58340.0
2011-01-01,196595.0,147271.0,75732.0,99187.0,60745.0
2012-01-01,197523.0,171630.0,76749.0,98128.0,67390.0
2013-01-01,204410.0,179310.0,78101.0,103230.0,72310.0
2014-01-01,206599.0,178311.0,81042.0,107145.0,73750.0
2015-01-01,203303.0,176865.0,87128.0,109834.0,77743.0
2016-01-01,203042.0,175261.0,94853.0,115561.0,80476.0
2017-01-01,207274.0,174292.0,99349.0,121718.0,83804.0
2018-01-01,211998.0,169325.0,96497.0,124455.0,85946.0
2019-01-01,217877.0,165478.0,97406.0,126170.0,88515.0
2020-01-01,117108.0,44792.0,51669.0,36410.0,51076.0
2021-01-01,141297.0,66773.0,55301.0,51631.0,51026.0
2022-01-01,0.0,50870.0,65995.0,104968.0,71815.0
