,country,industry,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
8,ALBANIA,Accommodation services for visitors (hotels and similar establishments),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.5,9.6,10.5,9.2,10.6,11.9,13.3,14.7,18.0,19.4,21.8,30.0,33.4,35.6,40.7,32.6,32.863850208171,0.0
11,ALBANIA,Passenger transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.4,4.3,4.9,5.3,5.1,5.9,5.1,5.9,6.4,6.2,6.2,7.7,8.3,9.2,8.7,8.1,8.53131121547744,0.0
12,ALBANIA,Travel agencies and other reservation services activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.7,2.8,3.0,3.0,3.0,4.2,4.3,0.8,0.9,1.1,1.0,1.5,1.9,1.9,2.6,1.7,2.14269101650919,0.0
36,ANGOLA,Accommodation services for visitors (hotels and similar establishments),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.462,46.242,70.41,72.594,72.084,78.7,84.141,88.979,92.3,93.0,94.0,161.0,107.2,102.0,90.0,92.0
38,ANGOLA,Food and beverage serving activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.732,48.555,54.313,55.927,61.292,65.719,74.844,98.476,104.0,105.0,106.0,169.0,55.4,76.0,91.0,96.0
40,ANGOLA,Travel agencies and other reservation services activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.955,7.929,9.918,10.346,12.188,13.535,14.493,15.311,23.0,23.0,23.0,24.9,52.9,3.0,2.0,4.0
57,ARGENTINA,Accommodation services for visitors (hotels and similar establishments),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.9,90.3,95.5,82.5,79.6,0.0,89.04982074304836,88.9945105422707,88.47708224837089,92.2066770248318,0.0,0.0,0.0
59,ARGENTINA,Food and beverage serving activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.7,452.7,461.4,495.1,475.8,0.0,485.4625953222932,505.3788183446574,518.0782031435499,509.42107314489687,0.0,0.0,0.0
60,ARGENTINA,Passenger transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.7,210.9,217.6,233.0,217.7,0.0,204.98663973523637,206.82929067736583,195.68768681758343,185.64334914128102,0.0,0.0,0.0
61,ARGENTINA,Travel agencies and other reservation services activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.518370706189334,30.484614604998942,31.127651443136187,29.909372589544095,0.0,0.0,0.0
